title,url,type,completed_at
Input & Output in C++,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-io-in-cpp-2/article/NjY3MA%3D%3D,article,2026-01-07 11:32:51
References in C++,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/article/NjkyMw%3D%3D,article,2026-01-07 11:33:04
Function Parameters & References,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/article/NzU5MA%3D%3D,article,2026-01-07 11:33:22
Range Based for Loop,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/article/Njk1NQ%3D%3D,article,2026-01-07 11:33:48
Const & R Value References,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/article/NzU5MQ%3D%3D,article,2026-01-07 11:33:55
References Practice Questions in C++,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/article/NzY1MA%3D%3D,article,2026-01-07 11:34:02
Address and Dereference Operators in C++,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/article/NzU5Mg%3D%3D,article,2026-01-07 11:34:09
Command Line Argument,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/Njk1MA%3D%3D,article,2026-01-07 11:34:21
Smart Pointer Introduction,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/Njk1MQ%3D%3D,article,2026-01-07 11:34:29
"unique_ptr, shared_ptr and weak_ptr in C++",https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/Njk1Mg%3D%3D,article,2026-01-07 11:34:48
File Handling in C++,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/Njk3OQ%3D%3D,article,2026-01-07 11:35:02
Reading from a file,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/NzYwMg%3D%3D,article,2026-01-07 11:35:21
Writing to a file,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/NzY2OA%3D%3D,article,2026-01-07 11:35:28
Function Pointers,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/NzYwMQ%3D%3D,article,2026-01-07 11:35:37
Passing Functions as Parameters,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/Njk1NA%3D%3D,article,2026-01-07 11:35:52
Lambda expression in C++,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/Njk1Mw%3D%3D,article,2026-01-07 11:36:05
More Examples of Lambda Expressions,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/MTUxNDM%3D,article,2026-01-07 11:36:15
Capture List in Lambda Expressions,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/MTUxNDQ%3D,article,2026-01-07 11:36:25
Java User Input - Scanner Class,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/article/NDk5ODIy,article,2026-01-07 11:36:48
System.out.println in Java,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/article/MzYzMTM3,article,2026-01-07 11:36:56
Escape Sequences in Java,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/article/NDAxMTY2,article,2026-01-07 11:37:05
Java Variables,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/article/MTQwODY2,article,2026-01-07 11:37:15
Java Data Types,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/article/MTM5NzA4,article,2026-01-07 11:37:46
Java Program to Swap two Variables,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/article/NDA4OTc1,article,2026-01-07 11:38:01
Wrapper Classes in Java,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/article/MTQwMTcy,article,2026-01-07 11:38:14
Autoboxing and Unboxing in Java,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/article/MTQxMzY0,article,2026-01-07 11:38:27
Type Conversion in Java with Examples,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/article/MTQwNDI2,article,2026-01-07 11:38:44
"Background Part 1 (IO Devices, CPU and Memory)",https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/article/NzU2Nw%3D%3D,article,2026-01-07 11:38:54
Background Part 2 (Computer Organization & Operating System),https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/article/NjY3MQ%3D%3D,article,2026-01-07 11:39:04
Why Do We Need Programming Languages,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/article/NjY3Mg%3D%3D,article,2026-01-07 11:39:44
